time;open;close;diff openclose;currency;impact;news
2019.01.02 10:15:00;1.12504;1.12498;0.6;EUR;1;Spanish Manufacturing PMI
2019.01.02 10:45:00;1.12366;1.12364;0.2;EUR;1;Italian Manufacturing PMI
2019.01.02 10:50:00;1.12365;1.12366;-0.1;EUR;1;French Final Manufacturing PMI
2019.01.02 10:55:00;1.12366;1.12346;2.0;EUR;1;German Final Manufacturing PMI
2019.01.02 11:00:00;1.12345;1.1234;0.5;EUR;1;Final Manufacturing PMI
2019.01.02 11:30:00;1.12328;1.12378;-5.0;GBP;2;Final Manufacturing PMI
2019.01.02 16:30:00;1.1239;1.1242;-3.0;CAD;1;Manufacturing PMI
2019.01.02 16:45:00;1.1239;1.12406;-1.6;USD;1;Final Manufacturing PMI
2019.01.02 16:55:00;1.1235;1.12311;3.9;NZD;1;GDT Price Index
2019.01.02 16:55:00;1.1235;1.12311;3.9;JPY;0;Bank Holiday (All Day)
2019.01.03 10:00:00;1.12192;1.12195;-0.3;EUR;1;Spanish Unemployment Change
2019.01.03 10:30:00;1.12264;1.12256;0.8;CHF;1;Manufacturing PMI
2019.01.03 11:00:00;1.12197;1.12199;-0.2;EUR;1;M3 Money Supply y/y
2019.01.03 11:05:00;1.1219999999999999;1.12225;-2.5;EUR;1;Private Loans y/y
2019.01.03 11:30:00;1.12285;1.12219;6.6;GBP;1;Construction PMI
2019.01.03 11:55:00;1.12218;1.12208;1.0;EUR;1;Spanish 10-y Bond Auction
2019.01.03 14:30:00;1.12223;1.1221700000000001;0.6;USD;1;Challenger Job Cuts y/y
2019.01.03 15:15:00;1.12147;1.12222;-7.5;USD;2;ADP Non-Farm Employment Change
2019.01.03 15:30:00;1.12218;1.1221700000000001;0.1;USD;1;Unemployment Claims
2019.01.03 17:00:00;1.12361;1.12306;5.5;USD;3;ISM Manufacturing PMI
2019.01.03 17:00:00;1.12361;1.12306;5.5;USD;1;ISM Manufacturing Prices
2019.01.03 17:00:00;1.12361;1.12306;5.5;USD;1;Total Vehicle Sales (All Day)
